gene_id	Apoly_gene	gene_symbol
g12435	Apoly006148	FXD5A_XENLA
g12436	Apoly006149	PGM5_MOUSE
g12437	Apoly006150	TM252_PONAB
g12439	Apoly006151	ZSWM6_HUMAN
g1244	Apoly018998	TRUB1_HUMAN
g12444	Apoly006152	SIM15_DANRE
g12445	Apoly006153	NDUF2_HUMAN
g12446	Apoly006154	ERCC8_BOVIN
g12448	Apoly006155	ELOV7_BOVIN
g12451	Apoly006156	PDE4D_RAT
g12453	Apoly006157	PDE4D_HUMAN
g12454	Apoly006158	RAB3C_RAT
g12455	Apoly006159	F173B_XENLA
g12456	Apoly006160	PLK2_HUMAN
g12457	Apoly006161	MIER3_MACFA
g12458	Apoly006162	RNZ1_HUMAN
g12459	Apoly006163	MAOM_MOUSE
g12460	Apoly006164	MK04_MOUSE
g12462	Apoly006165	TSN3_PONAB
g12463	Apoly006166	HSPL_MULSU
g12464	Apoly006167	MPEG1_HUMAN
g12465	Apoly006168	PERF_MOUSE
g12466	Apoly006169	SMRDB_DANRE
g12468	Apoly006170	ATOH1_PANTR
g1247	Apoly018999	HHEX_XENTR
g12471	Apoly006171	GRID2_DANRE
g12472	Apoly006172	CCSE1_BOVIN
g12474	Apoly006174	TRI36_HUMAN
g12475	Apoly006175	PGTB1_BOVIN
g12476	Apoly006176	CC112_HUMAN
g12477	Apoly006177	FEM1C_MOUSE
g12478	Apoly006178	TMED7_RAT
g12479	Apoly006179	MEX3C_MOUSE
g1248	Apoly019000	EXOC6_HUMAN
g12480	Apoly006180	SMAD4_RAT
g12481	Apoly006181	TLE1_HUMAN
g12482	Apoly006182	RASEF_HUMAN
g12483	Apoly006183	FRMD3_MOUSE
g12484	Apoly006184	GNTK_XENTR
g12485	Apoly006185	UBQL1_MOUSE
g12486	Apoly006186	GKAP1_DANRE
g12487	Apoly006187	KIF27_MOUSE
g12488	Apoly006188	QSPP_BOVIN
g12489	Apoly006189	HNRPK_CHICK
g12490	Apoly006190	RMI1_DANRE
g12491	Apoly006191	S28A3_EPTST
g12492	Apoly006192	NTRK2_CHICK
g12494	Apoly006193	CBPC1_HUMAN
g12496	Apoly006194	NAA35_DANRE
g12497	Apoly006195	KLK2_HUMAN
g12498	Apoly006196	GOLM1_MOUSE
g12499	Apoly006197	LMD2B_DANRE
g125	Apoly018226	RETST_DANRE
g1250	Apoly019001	CP26A_DANRE
g12502	Apoly006198	EAA1_AMBTI
g12503	Apoly006199	NIPLA_DANRE
g12504	Apoly006200	NDC80_DANRE
g12505	Apoly006201	GDNF_DANRE
g12506	Apoly006202	EGFLA_RAT
g12507	Apoly006203	OPN4A_GADMO
g12509	Apoly006204	PDLI7_MOUSE
g12510	Apoly006205	BMR1B_HUMAN
g12511	Apoly006206	UNC5C_MOUSE
g12514	Apoly006207	STPG2_DANRE
g12515	Apoly006208	BRI3B_MOUSE
g12516	Apoly006209	WDR31_MOUSE
g12517	Apoly006210	GNAQ_MOUSE
g12518	Apoly006211	GNA14_XENLA
g12519	Apoly006212	VP13A_HUMAN
g12520	Apoly006213	C2C4C_MOUSE
g12521	Apoly006214	FOXB2_XENLA
g12523	Apoly006215	PRUN2_XENTR
g12524	Apoly006216	GCNT1_MOUSE
g12525	Apoly006217	GCNT1_MOUSE
g12526	Apoly006218	GCNT1_MOUSE
g12527	Apoly006219	GCNT1_MOUSE
g12528	Apoly006220	GCNT1_MOUSE
g12529	Apoly006221	RIFK_HUMAN
g1253	Apoly019003	JHD2C_HUMAN
g12530	Apoly006222	PCSK5_HUMAN
g12531	Apoly006223	UBAP2_MOUSE
g12533	Apoly006224	KIF24_MOUSE
g12534	Apoly006225	RFESD_HUMAN
g12535	Apoly006226	TF2H3_BOVIN
g12536	Apoly006227	PSMD9_RAT
g12537	Apoly006228	RABX5_BOVIN
g12538	Apoly006229	CF251_MOUSE
g12539	Apoly006230	MLXIP_MOUSE
g1254	Apoly019004	REEP3_DANRE
g12540	Apoly006231	No_ID
g12541	Apoly006232	LRC43_MOUSE
g12542	Apoly006233	CLIP1_CHICK
g12543	Apoly006234	ZCHC8_PONAB
g12544	Apoly006235	No_ID
g12545	Apoly006236	RSRC2_DANRE
g12546	Apoly006237	KNTC1_HUMAN
g12547	Apoly006238	HCAR2_HUMAN
g1255	Apoly019005	NRBF2_HUMAN
g12550	Apoly006240	HCAR2_HUMAN
g12553	Apoly006241	HCAR2_HUMAN
g12555	Apoly006242	HIP1R_HUMAN
g12556	Apoly006243	RIPL1_RAT
g12557	Apoly006244	RIPL2_DANRE
g12558	Apoly006245	KMT5A_HUMAN
g12559	Apoly006246	CL065_DANRE
g1256	Apoly019006	NHLC3_HUMAN
g12562	Apoly006247	PITM2_HUMAN
g12563	Apoly006248	AR6P4_DANRE
g12564	Apoly006249	MTDC_CHICK
g12565	Apoly006250	MTDC_CHICK
g12566	Apoly006251	MOB1A_RAT
g12567	Apoly006252	TRAD1_BOVIN
g12568	Apoly006253	SMTN_MOUSE
g12569	Apoly006254	No_ID
g12570	Apoly006255	SMTL2_BOVIN
g12572	Apoly006256	No_ID
g12573	Apoly006257	SMTN_HUMAN
g12574	Apoly006258	SELM_DANRE
g12575	Apoly006259	No_ID
g12578	Apoly006260	PI5PA_MOUSE
g12579	Apoly006261	PI5PA_MOUSE
g1258	Apoly019007	EGR2B_DANRE
g12580	Apoly006262	METK2_MOUSE
g12581	Apoly006263	CB068_DANRE
g12582	Apoly006264	SNUT2_HUMAN
g12583	Apoly006265	SAP_CHICK
g12584	Apoly006266	PERM_HUMAN
g12585	Apoly006267	PERM_HUMAN
g12586	Apoly006268	PERM_HUMAN
g12587	Apoly006269	PERM_HUMAN
g1259	Apoly019008	AEDO_HUMAN
g12590	Apoly006270	COE2_DANRE
g12593	Apoly006271	ANK1_HUMAN
g12595	Apoly006272	4EBP1_HUMAN
g12596	Apoly006273	NODAL_XENTR
g12597	Apoly006274	DCK_BOVIN
g12598	Apoly006275	TCO2_BOVIN
g12599	Apoly006276	CC117_MOUSE
g126	Apoly018227	TM101_BOVIN
g12601	Apoly006277	OSBP2_HUMAN
g12603	Apoly006278	RSLAB_MOUSE
g12606	Apoly006279	AP1B1_HUMAN
g12607	Apoly006280	GA2L1_MOUSE
g12609	Apoly006281	RBP56_HUMAN
g1261	Apoly019009	BMS1_HUMAN
g12610	Apoly006282	RHBD3_HUMAN
g12611	Apoly006283	EMID1_HUMAN
g12612	Apoly006284	DYH10_HUMAN
g12613	Apoly006285	VPP2_HUMAN
g12614	Apoly006286	TECT2_MOUSE
g12615	Apoly006287	THADA_HUMAN
g12616	Apoly006288	P3IP1_DANRE
g12617	Apoly006289	LIMK2_RAT
g12618	Apoly006290	INE_DROME
g1262	Apoly019010	METH_BOVIN
g12620	Apoly006291	WSCD2_DANRE
g12621	Apoly006292	CML1_MOUSE
g12623	Apoly006294	SART3_DANRE
g12624	Apoly006295	ISCU_MOUSE
g12625	Apoly006296	GP1BA_CANLF
g12626	Apoly006297	TM119_HUMAN
g12627	Apoly006298	COR1C_MOUSE
g12629	Apoly006299	SSH1_MOUSE
g12630	Apoly006300	OXDA_MACFA
g12631	Apoly006301	SVOP_HUMAN
g12632	Apoly006302	UBP30_DANRE
g12633	Apoly006303	ALKB2_MOUSE
g12634	Apoly006304	UNG_HUMAN
g12635	Apoly006305	PXMP2_BOVIN
g12636	Apoly006306	UBIQP_PHYIN
g12637	Apoly006307	UBIQP_PHYIN
g12638	Apoly006308	GATC_SALSA
g12639	Apoly006309	SGSM1_MOUSE
g1264	Apoly019011	RYR2_HUMAN
g12640	Apoly006310	SC6A4_MACMU
g12642	Apoly006311	AN13A_HUMAN
g12643	Apoly006312	GIT2_HUMAN
g12644	Apoly006313	TCHP_DANRE
g12645	Apoly006314	TRPV4_HUMAN
g12646	Apoly006315	F222A_MOUSE
g1265	Apoly019012	ACM3_PANTR
g12651	Apoly006316	KIME_BOVIN
g12652	Apoly006317	MMAB_HUMAN
g12653	Apoly006318	AL3B1_HUMAN
g12654	Apoly006319	UBE3B_XENTR
g12655	Apoly006320	BACD3_HUMAN
g12656	Apoly006321	MYO1H_HUMAN
g12657	Apoly006322	FOXN4_DANRE
g12658	Apoly006323	ACACB_HUMAN
g12659	Apoly006324	DPOE1_HUMAN
g12660	Apoly006325	P2RX2_HUMAN
g12661	Apoly006326	PESC_SALSA
g12663	Apoly006327	G3ST1_HUMAN
g12664	Apoly006328	LZTR1_HUMAN
g12665	Apoly006329	CLD22_HUMAN
g12667	Apoly006331	AIFM3_HUMAN
g12668	Apoly006332	EHD1_ARATH
g12669	Apoly006333	GTR11_HUMAN
g1267	Apoly019013	FMN2_HUMAN
g12670	Apoly006334	RBM19_HUMAN
g12671	Apoly006335	PLBL2_HUMAN
g12672	Apoly006336	MOR2B_MOUSE
g12673	Apoly006337	ACD11_CAEEL
g12675	Apoly006338	PAR3_BOVIN
g12676	Apoly006339	NCLX_HUMAN
g12677	Apoly006340	TPC1_MOUSE
g12679	Apoly006342	DRC10_MACFA
g1268	Apoly019014	GRB7_HUMAN
g12680	Apoly006343	CCD42_NEMVE
g12682	Apoly006344	TBX5_CHICK
g12684	Apoly006346	PKHA2_HUMAN
g12685	Apoly006347	TACC1_HUMAN
g12687	Apoly006348	DDHD2_HUMAN
g12688	Apoly006349	CLU_MOUSE
g12689	Apoly006350	SRR1L_HUMAN
g12690	Apoly006351	TFP11_DANRE
g12691	Apoly006352	NFH_MOUSE
g12692	Apoly006353	FANCG_MOUSE
g12693	Apoly006354	TERA_DANRE
g12694	Apoly006355	A1A1A_DANRE
g12695	Apoly006356	DNJB5_BOVIN
g12696	Apoly006357	EPG5_DANRE
g12697	Apoly006358	LIX1_CHICK
g12698	Apoly006359	RIOK2_HUMAN
g12699	Apoly006360	RGMB_HUMAN
g127	Apoly018228	LS12A_DANRE
g12701	Apoly006361	ERAP2_BOVIN
g12702	Apoly006362	LCAP_MOUSE
g12704	Apoly006363	UT2_RABIT
g12705	Apoly006364	SETBP_HUMAN
g12707	Apoly006365	CDK7_CARAU
g12708	Apoly006366	SERC5_DANRE
g12709	Apoly006367	TSP4B_DANRE
g12710	Apoly006368	MTX3_DANRE
g12711	Apoly006369	CMYA5_MOUSE
g12712	Apoly006370	GLD2_DANRE
g12713	Apoly006371	HOME1_BOVIN
g12714	Apoly006372	JMY_DANRE
g12715	Apoly006373	BHMT1_XENTR
g12716	Apoly006374	BHMT1_XENTR
g12717	Apoly006375	CENPH_CHICK
g12718	Apoly006376	DIM1_HUMAN
g12719	Apoly006377	KIF2A_PONAB
g12720	Apoly006378	UN45B_DANRE
g12721	Apoly006379	No_ID
g12726	Apoly006380	PI51B_CHICK
g12727	Apoly006381	C43BP_BOVIN
g12728	Apoly006382	POLK_HUMAN
g12729	Apoly006383	AKD1B_MOUSE
g12730	Apoly006384	POC5_XENLA
g12731	Apoly006385	SV2C_RAT
g12732	Apoly006386	IQGA1_HUMAN
g12733	Apoly006387	IQGA1_HUMAN
g12734	Apoly006388	PAR3_BOVIN
g12735	Apoly006389	PAR1_XENLA
g12737	Apoly006390	SXT2_TAKPA
g12738	Apoly006391	No_ID
g12739	Apoly006392	SSBP2_HUMAN
g1274	Apoly019015	SRCN1_RAT
g12740	Apoly006393	ARRD3_RAT
g12741	Apoly006394	ARRD3_BOVIN
g12743	Apoly006395	ARRD3_BOVIN
g12745	Apoly006396	ARRD3_BOVIN
g12746	Apoly006397	ARRD3_PONAB
g12748	Apoly006398	PGBD4_HUMAN
g12750	Apoly006399	KISHA_CHICK
g12751	Apoly006400	XRCC4_HUMAN
g12752	Apoly006401	CSPG2_CHICK
g12753	Apoly006402	HPLN1_RAT
g12755	Apoly006403	EDIL3_HUMAN
g12759	Apoly006404	COX7C_SAISC
g12760	Apoly006405	RASA1_HUMAN
g12761	Apoly006406	CCNH_RAT
g12762	Apoly006407	T161B_MOUSE
g12764	Apoly006408	MEF2C_PONAB
g1277	Apoly019016	FMNL2_HUMAN
g12770	Apoly006409	DREB_RAT
g12771	Apoly006410	RHBT2_HUMAN
g12774	Apoly006412	WDR54_MOUSE
g12775	Apoly006413	NOL6_XENLA
g12776	Apoly006414	ZBED1_HUMAN
g12777	Apoly006415	NOL6_XENLA
g12779	Apoly006416	POLR_DROME
g1278	Apoly019017	GT2D2_BOVIN
g12780	Apoly006417	AQP3_MOUSE
g12781	Apoly006418	No_ID
g12782	Apoly006419	ARRD3_MOUSE
g12783	Apoly006420	ARRD3_RAT
g1279	Apoly019018	CCR6_MOUSE
g12797	Apoly006421	N2F1A_DANRE
g12798	Apoly006422	F172A_HUMAN
g12799	Apoly006423	K0825_HUMAN
g128	Apoly018229	G6PC3_DANRE
g1280	Apoly019019	RAMP3_PIG
g12800	Apoly006424	SLF1_HUMAN
g12801	Apoly006425	MCTP1_HUMAN
g12802	Apoly006426	MCTP1_HUMAN
g12803	Apoly006427	FA81B_HUMAN
g12804	Apoly006428	No_ID
g12805	Apoly006429	No_ID
g12806	Apoly006430	TTC37_HUMAN
g12807	Apoly006431	TTC37_XENLA
g12808	Apoly006432	TTC37_XENLA
g12809	Apoly006433	TTC37_HUMAN
g1281	Apoly019020	UD15_RAT
g12810	Apoly006434	TTC37_XENLA
g12811	Apoly006435	ARSK_BOVIN
g12812	Apoly006436	ARSK_DANRE
g12813	Apoly006437	ARRD3_HUMAN
g12814	Apoly006438	AGRV1_DANRE
g12815	Apoly006439	LYSM3_DANRE
g12816	Apoly006440	RPC7_MOUSE
g12817	Apoly006441	MBLC2_MOUSE
g12818	Apoly006442	RTKN_RAT
g1282	Apoly019021	ENDD1_MOUSE
g12820	Apoly006443	SMN1_DANRE
g12821	Apoly006444	IFT25_HUMAN
g12822	Apoly006445	LZTS1_HUMAN
g12823	Apoly006446	GFRA2_HUMAN
g12824	Apoly006447	BCDO2_PONAB
g12825	Apoly006448	CEL2A_HUMAN
g12826	Apoly006449	No_ID
g12828	Apoly006450	F219A_HUMAN
g12829	Apoly006451	KLF9_HUMAN
g1283	Apoly019022	ACTP1_ACTVL
g12830	Apoly006452	TRPM3_HUMAN
g12832	Apoly006453	CEIP2_DANRE
g12833	Apoly006454	AB17B_RAT
g12834	Apoly006455	CI085_MOUSE
g12835	Apoly006456	GUAD_HUMAN
g12836	Apoly006457	No_ID
g12838	Apoly006459	ENTP4_HUMAN
g12839	Apoly006460	MFRN1_DANRE
g12840	Apoly006461	NKX31_HUMAN
g12841	Apoly006462	NKX26_HUMAN
g12843	Apoly006463	STC_ANGAU
g12845	Apoly006464	I23O2_HUMAN
g12846	Apoly006465	RHBT2_HUMAN
g12848	Apoly006466	EGR3_MOUSE
g12849	Apoly006467	BIN3_MOUSE
g1285	Apoly019024	ACTP2_PHYSE
g12851	Apoly006468	BIN3_RAT
g12852	Apoly006469	ACSL1_RAT
g12853	Apoly006470	KGP1_MOUSE
g12854	Apoly006471	UBL4A_ANOFI
g12855	Apoly006472	DNM1L_DANRE
g12856	Apoly006473	DISP3_MOUSE
g12857	Apoly006474	No_ID
g12858	Apoly006475	BMP1_HUMAN
g12859	Apoly006476	KANL3_DANRE
g12860	Apoly006477	No_ID
g12861	Apoly006478	ANTR1_MOUSE
g12863	Apoly006480	GFPT1_RAT
g12864	Apoly006481	NFU1_MOUSE
g12865	Apoly006482	TLS1_MOUSE
g12866	Apoly006483	MED22_DANRE
g12867	Apoly006484	YJ005_MOUSE
g12868	Apoly006485	AAK1_PIG
g12869	Apoly006486	ADB4C_MELGA
g12870	Apoly006487	AATC_PONAB
g12872	Apoly006488	PRLHR_MOUSE
g12873	Apoly006489	RFIP2_MOUSE
g12874	Apoly006490	AGRA2_DANRE
g12877	Apoly006491	PDLI2_RAT
g12878	Apoly006492	VINEX_HUMAN
g12882	Apoly006494	NEUL3_HUMAN
g12883	Apoly006495	NEUL3_HUMAN
g12884	Apoly006496	NKX63_MOUSE
g12886	Apoly006497	I5P1_CANLF
g12887	Apoly006498	GPAT4_PONAB
g12889	Apoly006500	RPC4_BOVIN
g12890	Apoly006501	PHIPL_RAT
g12891	Apoly006502	PPR3C_BOVIN
g12892	Apoly006503	SLD5_MOUSE
g12893	Apoly006504	ARI5A_MOUSE
g12894	Apoly006505	DBNL_HUMAN
g12895	Apoly006506	T7L1A_DANRE
g12896	Apoly006507	No_ID
g12897	Apoly006508	TGON1_MOUSE
g12898	Apoly006509	DUS18_PONAB
g129	Apoly018230	TANC2_HUMAN
g12916	Apoly006512	MN1_MOUSE
g12919	Apoly006513	PIPNB_HUMAN
g1292	Apoly019025	KCNJ2_RABIT
g12920	Apoly006514	TTC28_HUMAN
g12922	Apoly006515	TTC28_HUMAN
g12923	Apoly006516	SDHL_MOUSE
g12924	Apoly006517	HECD4_HUMAN
g12925	Apoly006518	VP33A_HUMAN
g12926	Apoly006519	2ABA_RABIT
g12927	Apoly006520	BNI3L_BOVIN
g12928	Apoly006521	DPYL2_BOVIN
g12929	Apoly006522	ADA1A_ORYLA
g1293	Apoly019026	KCJ16_RAT
g12931	Apoly006523	TM230_CHICK
g12932	Apoly006524	TUTLA_MOUSE
g12933	Apoly006525	ES1_DANRE
g12934	Apoly006526	TM127_DANRE
g12936	Apoly006527	CIO1A_SALSA
g12937	Apoly006528	U520_MOUSE
g12938	Apoly006529	ZFAN5_HUMAN
g12939	Apoly006530	TMC2_HUMAN
g12940	Apoly006531	TMC2_HUMAN
g12941	Apoly006532	AL1A1_CHICK
g12942	Apoly006533	CP1A1_CANLF
g12943	Apoly006534	KN14E_ARATH
g12945	Apoly006535	ANXA1_HUMAN
g12946	Apoly006536	MFSD3_RAT
g12951	Apoly006537	RORB_MOUSE
g12952	Apoly006538	TRPM6_HUMAN
g12953	Apoly006539	CARME_MOUSE
g12954	Apoly006540	SPA31_BOVIN
g12955	Apoly006541	DUS26_BOVIN
g12956	Apoly006542	BAG4_MOUSE
g12957	Apoly006543	LSM1_MOUSE
g12959	Apoly006544	GRK5_MOUSE
g12960	Apoly006545	STAR_ONCMY
g12961	Apoly006546	ELMD3_BOVIN
g12965	Apoly006547	AEBP1_HUMAN
g12966	Apoly006548	DPOD2_HUMAN
g12967	Apoly006549	NONO_RAT
g12968	Apoly006550	NPCL1_RAT
g12973	Apoly006552	CE034_BOVIN
g12974	Apoly006553	CE034_RAT
g12975	Apoly006554	RNF34_BOVIN
g12976	Apoly006555	KDM2B_XENLA
g12977	Apoly006556	CRCM1_DANRE
g12980	Apoly006557	RHOF_BOVIN
g12981	Apoly006558	CRCM1_MOUSE
g12982	Apoly006559	RHOF_BOVIN
g12983	Apoly006560	SE1BA_DANRE
g12984	Apoly006561	HPPD_DANRE
g12986	Apoly006562	APJA_DANRE
g12988	Apoly006563	LORF1_MOUSE
g12990	Apoly006564	TB10A_HUMAN
g12991	Apoly006565	SF3A1_HUMAN
g12992	Apoly006566	CC157_MOUSE
g12993	Apoly006567	CTR4_MOUSE
g12995	Apoly006569	DGCR6_CHICK
g12996	Apoly006570	RASL1_HUMAN
g12997	Apoly006571	DTX1_XENLA
g13	Apoly018187	HMR1_RAT
g13000	Apoly006573	DTX1_MOUSE
g13001	Apoly006574	S20AA_DANRE
g13002	Apoly006575	VGLL4_MOUSE
g13004	Apoly006576	SYN1_BOVIN
g13005	Apoly006577	GAPD1_HUMAN
g13010	Apoly006578	PBX3_HUMAN
g13012	Apoly006579	MB12B_HUMAN
g13013	Apoly006580	LMX1B_HUMAN
g1302	Apoly019027	PXN1_XENLA
g13021	Apoly006581	ZBT34_HUMAN
g13022	Apoly006582	ANGL2_MOUSE
g13027	Apoly006583	HMCN1_HUMAN
g13028	Apoly006584	NCS1_RAT
g13029	Apoly006585	ATS13_HUMAN
g13030	Apoly006586	CACP_COLLI
g13031	Apoly006587	IER5L_DANRE
g13032	Apoly006588	ASB6_PONAB
g13033	Apoly006589	T132C_HUMAN
g13034	Apoly006590	S15A4_RAT
g13035	Apoly006591	GL1D1_PONAB
g13036	Apoly006592	T132D_RAT
g13039	Apoly006593	FZ10B_XENLA
g1304	Apoly019028	GALR2_HUMAN
g13041	Apoly006594	PIWL1_DANRE
g13043	Apoly006596	RIMB2_CHICK
g13044	Apoly006597	STX2_HUMAN
g13045	Apoly006598	AGRD1_HUMAN
g13048	Apoly006600	EP400_MOUSE
g1305	Apoly019029	GALR2_MOUSE
g13051	Apoly006601	NCOR2_MOUSE
g13053	Apoly006603	RFLA_HUMAN
g1306	Apoly019030	EXOC7_MOUSE
g13060	Apoly006604	CCD92_HUMAN
g13061	Apoly006605	CHMP7_DANRE
g13062	Apoly006606	LGI3_MACFA
g13064	Apoly006607	FGR1A_DANRE
g13065	Apoly006608	ANR39_MOUSE
g13066	Apoly006609	KCTD9_HUMAN
g13067	Apoly006610	GON1_HAPBU
g13068	Apoly006611	NPY1R_CAVPO
g13069	Apoly006612	KLH22_XENTR
g1307	Apoly019031	THAP6_HUMAN
g13070	Apoly006613	KLH22_MOUSE
g13072	Apoly006614	TBX6L_CHICK
g13073	Apoly006615	CABIN_RAT
g13074	Apoly006616	CABIN_HUMAN
g13075	Apoly006617	NFL_MOUSE
g13076	Apoly006618	DOCK5_HUMAN
g13078	Apoly006619	CXAR_RAT
g13079	Apoly006620	LRRT4_MOUSE
g1308	Apoly019032	TV23B_BOVIN
g13080	Apoly006621	LRRT4_MOUSE
g13081	Apoly006622	APC5_PONAB
g13082	Apoly006623	GGT1_RAT
g13083	Apoly006624	GGT1_MOUSE
g13085	Apoly006625	LR75A_HUMAN
g13086	Apoly006626	GGT5_HUMAN
g13087	Apoly006627	ASPH2_DANRE
g13088	Apoly006628	CABP1_HUMAN
g13089	Apoly006629	MLEC_DANRE
g1309	Apoly019033	TRI16_MOUSE
g13090	Apoly006630	No_ID
g13091	Apoly006631	HPS4_HUMAN
g13092	Apoly006632	No_ID
g13093	Apoly006633	COX6A_ONCMY
g13094	Apoly006634	ASGR2_MOUSE
g13095	Apoly006635	PA21B_CANLF
g13096	Apoly006636	AAKB1_BOVIN
g13097	Apoly006637	MSI1H_HUMAN
g13098	Apoly006638	HNF1A_SALSA
g13099	Apoly006639	CSTOS_MOUSE
g1310	Apoly019034	FADS6_BOVIN
g13100	Apoly006640	U119B_DANRE
g13101	Apoly006641	POP5_DANRE
g13102	Apoly006642	RNF10_RAT
g13103	Apoly006643	NIPLB_DANRE
g13104	Apoly006644	CRBB3_BOVIN
g13106	Apoly006646	CRBB2_LITCT
g13107	Apoly006647	CTU1_DANRE
g13108	Apoly006648	PAXI_CHICK
g13109	Apoly006649	RN181_DANRE
g1311	Apoly019035	USH1G_MOUSE
g13110	Apoly006650	T150A_XENTR
g13111	Apoly006651	KCNV2_MOUSE
g13113	Apoly006653	PURP_CHICK
g13114	Apoly006654	IDUA_HUMAN
g13115	Apoly006655	TNKS1_HUMAN
g13118	Apoly006656	PIWL2_ONCMY
g13119	Apoly006657	5HT7R_XENLA
g1312	Apoly019036	OTOP3_HUMAN
g13120	Apoly006658	5HT7R_MOUSE
g13122	Apoly006659	ATD1A_DANRE
g13125	Apoly006660	GALT9_HUMAN
g13128	Apoly006661	No_ID
g1313	Apoly019037	HID1_HUMAN
g1314	Apoly019038	UROK_CHICK
g13141	Apoly006662	AUTS2_HUMAN
g13146	Apoly006663	CHFR_DANRE
g13148	Apoly006664	GOGA3_HUMAN
g13149	Apoly006665	ANKL2_HUMAN
g1315	Apoly019039	No_ID
g13150	Apoly006666	PGAM5_DANRE
g13151	Apoly006667	ZDHC8_HUMAN
g13154	Apoly006668	RANG_HUMAN
g13155	Apoly006669	TRM2A_HUMAN
g13156	Apoly006670	DGCR8_HUMAN
g13157	Apoly006671	TNG2_MOUSE
g13161	Apoly006672	ARVC_MOUSE
g13164	Apoly006673	TRXR2_RAT
g13167	Apoly006675	GNB1L_MOUSE
g13169	Apoly006676	TBX1_DANRE
g13170	Apoly006677	TBX1_DANRE
g13179	Apoly006678	No_ID
g13183	Apoly006679	SEM4C_MOUSE
g13184	Apoly006680	No_ID
g13186	Apoly006681	KAT6A_HUMAN
g13188	Apoly006682	AP3M2_HUMAN
g1319	Apoly019040	MP2K6_DANRE
g13192	Apoly006683	TET3_MOUSE
g13193	Apoly006684	No_ID
g13195	Apoly006685	TET3_MOUSE
g13196	Apoly006686	No_ID
g13197	Apoly006687	No_ID
g13204	Apoly006688	PIM1_HUMAN
g13205	Apoly006689	PIM2_DANRE
g13207	Apoly006690	NPFF2_HUMAN
g13208	Apoly006691	HXK2_PIG
g13209	Apoly006692	FIGLA_HUMAN
g1321	Apoly019041	BTBDH_XENLA
g13210	Apoly006693	ADDB_MOUSE
g13211	Apoly006694	SNR27_DANRE
g13212	Apoly006695	MAD1_MOUSE
g13214	Apoly006696	XNIF_XENLA
g13215	Apoly006697	CDS2_BOVIN
g13216	Apoly006698	RHG25_MOUSE
g13217	Apoly006699	BMP10_RAT
g13218	Apoly006700	CH25H_PIG
g13219	Apoly006701	ERLN2_DANRE
g1322	Apoly019042	GP142_HUMAN
g13221	Apoly006702	ZN703_DANRE
g13225	Apoly006703	TIA1_HUMAN
g13226	Apoly006704	ZN363_MOUSE
g13228	Apoly006705	LRP4_RAT
g13229	Apoly006706	SMAD2_DANRE
g1323	Apoly019043	GPC5C_MOUSE
g13230	Apoly006707	IR3IP_XENLA
g13231	Apoly006708	No_ID
g13232	Apoly006709	PALM2_HUMAN
g13233	Apoly006710	SUSD1_HUMAN
g13234	Apoly006711	ZBT26_HUMAN
g13235	Apoly006712	P2RX4_HUMAN
g13236	Apoly006713	GUCD1_MOUSE
g13237	Apoly006714	BUP1_PONAB
g13238	Apoly006715	CV015_HUMAN
g13239	Apoly006716	AA2AR_HUMAN
g1324	Apoly019044	OXLD1_HUMAN
g13240	Apoly006717	CYTSA_TETNG
g13241	Apoly006718	BCR_MOUSE
g13242	Apoly006719	BCR_MOUSE
g13243	Apoly006720	BCR_HUMAN
g13244	Apoly006721	IFT81_MOUSE
g13246	Apoly006723	AT2A2_CHICK
g13247	Apoly006724	APC7_MOUSE
g13248	Apoly006725	UB2G1_RAT
g13249	Apoly006726	PPTC7_DANRE
g1325	Apoly019045	CNRG_BOVIN
g13250	Apoly006727	PPIG_XENTR
g13251	Apoly006728	MLRV_MOUSE
g13252	Apoly006729	CUX2_HUMAN
g13253	Apoly006730	CUX2_HUMAN
g13254	Apoly006731	PGBD4_HUMAN
g13255	Apoly006732	MTMR3_HUMAN
g13256	Apoly006733	CTRO_HUMAN
g13258	Apoly006734	CTRO_MOUSE
g1326	Apoly019046	No_ID
g13260	Apoly006735	BICL1_DANRE
g13261	Apoly006736	BICL1_DANRE
g13262	Apoly006737	RAB35_RAT
g13263	Apoly006738	GCN1_HUMAN
g13265	Apoly006740	GCN1_MOUSE
g13266	Apoly006741	VAMP5_MOUSE
g13267	Apoly006742	VAMP8_BOVIN
g13268	Apoly006743	CND2_XENLA
g13271	Apoly006744	LIN1_NYCCO
g13272	Apoly006745	GP155_HUMAN
g13273	Apoly006746	T41AB_DANRE
g13274	Apoly006747	PGBD4_HUMAN
g13278	Apoly006748	No_ID
g13279	Apoly006749	PSD1_MOUSE
g1328	Apoly019047	No_ID
g13280	Apoly006750	LORF1_HUMAN
g13283	Apoly006751	PSD1_RAT
g13287	Apoly006752	NFKB2_XENLA
g13288	Apoly006753	No_ID
g1329	Apoly019048	No_ID
g13291	Apoly006754	LORF1_HUMAN
g13293	Apoly006755	NK1R_MERUN
g13297	Apoly006758	LORF2_HUMAN
g1330	Apoly019049	No_ID
g13307	Apoly006759	TSN15_MOUSE
g1331	Apoly019050	SIA7B_HUMAN
g13310	Apoly006760	S4A5_RAT
g13311	Apoly006761	OGFD2_DANRE
g13312	Apoly006762	No_ID
g13314	Apoly006763	OGFD2_DANRE
g13315	Apoly006764	DPP2_RAT
g13317	Apoly006765	NCF2_BOVIN
