file_name	sample	fam	rep	generation	treatment	parental_phenotype	parental_treatment	experiment	phenotype	Perc.time_in_CAC	RNAseq	RNAseq.fastq	coverage	other_info
71-H5	71_H5	71	H5	f1	transgenerational	sensitive	highC02	growouts	NA	NA	-	-	23.4	-
P_73_F	P_73_F	73	P_F	mum	-	-	highC02	f0	sensitive	NA	-	-	34.5	-
FL-73-H1	FL_73_H1	73	FL_H1	f1	transgenerational	sensitive	highC02	flumed	sensitive	100	-	-	17.3	-
FL-73-H2	FL_73_H2	73	FL_H2	f1	transgenerational	sensitive	highC02	flumed	uncertain	50	-	-	14.3	-
FL-73-H3	FL_73_H3	73	FL_H3	f1	transgenerational	sensitive	highC02	flumed	uncertain	43.8	-	-	10.3	-
FL-73-H4	FL_73_H4	73	FL_H4	f1	transgenerational	sensitive	highC02	flumed	uncertain	50	-	-	18	-
FL-73-H5	FL_73_H5	73	FL_H5	f1	transgenerational	sensitive	highC02	flumed	uncertain	50	-	-	21.7	-
73_H1	73_H1	73	H1	f1	transgenerational	sensitive	highC02	growouts	NA	NA	yes	73-1_H1	34.8	-
73-H2	73_H2	73	H2	f1	transgenerational	sensitive	highC02	growouts	NA	NA	-	-	18.6	-
73_H3	73_H3	73	H3	f1	transgenerational	sensitive	highC02	growouts	NA	NA	yes	73-1_H3	31.8	-
73_H4	73_H4	73	H4	f1	transgenerational	sensitive	highC02	growouts	NA	NA	yes	73-1_H4	32.7	-
73-H5	73_H5	73	H5	f1	transgenerational	sensitive	highC02	growouts	NA	NA	-	-	19.3	-
P_74_M	P_74_M	74	P_M	dad	-	-	highC02	f0	tolerant	NA	-	-	30.3	-
FL-74-H1	FL_74_H1	74	FL_H1	f1	transgenerational	tolerant	highC02	flumed	uncertain	12.5	-	-	18	-
FL-74-H3	FL_74_H3	74	FL_H3	f1	transgenerational	tolerant	highC02	flumed	uncertain	62.5	-	-	18.9	-
FL-74-H4	FL_74_H4	74	FL_H4	f1	transgenerational	tolerant	highC02	flumed	uncertain	79.2	-	-	6.9	-
FL-74-H5	FL_74_H5	74	FL_H5	f1	transgenerational	tolerant	highC02	flumed	sensitive	100	-	-	20.1	-
74_H1	74_H1	74	H1	f1	transgenerational	tolerant	highC02	growouts	NA	NA	yes	74-1_H1	39	-
74_H2	74_H2	74	H2	f1	transgenerational	tolerant	highC02	growouts	NA	NA	yes	74-1_H2	36.3	-
74_H3	74_H3	74	H3	f1	transgenerational	tolerant	highC02	growouts	NA	NA	yes	74-1_H3	38.3	-
74-H4	74_H4	74	H4	f1	transgenerational	tolerant	highC02	growouts	NA	NA	-	-	19.7	-
74-H5	74_H5	74	H5	f1	transgenerational	tolerant	highC02	growouts	NA	NA	-	-	21.3	-
